STAID, SOUID,    DATE,   TN, Q_TN
   274,   921,18150101,  -15,    0
   274,   921,18150102,  -32,    0
   274,   921,18150103,  -56,    0
   274,   921,18150104,  -61,    0
   274,   921,18150105,  -72,    0
   274,   921,18150106,  -66,    0
   274,   921,18150107,  -90,    0
   274,   921,18150108,  -32,    0
   274,   921,18150109,  -72,    0
   274,   921,18150110,   -4,    0
   274,   921,18150111,  -21,    0
   274,   921,18150112,  -38,    0
   274,   921,18150113,  -61,    0
   274,   921,18150114,  -27,    0
   274,   921,18150115,  -15,    0
   274,   921,18150116,  -84,    0
   274,   921,18150117,  -44,    0
   274,   921,18150118,  -56,    0
   274,   921,18150119,  -56,    0
   274,   921,18150120, -107,    0
   274,   921,18150121,  -84,    0
   274,   921,18150122,  -72,    0
   274,   921,18150123,  -66,    0
   274,   921,18150124, -118,    0
   274,   921,18150125,  -90,    0
   274,   921,18150126,  -90,    0
   274,   921,18150127,  -56,    0
   274,   921,18150128,  -50,    0
   274,   921,18150129,  -21,    0
   274,   921,18150130,  -27,    0
   274,   921,18150131,  -44,    0
   274,   921,18150201,  -15,    0
   274,   921,18150202,  -10,    0
   274,   921,18150203,  -27,    0
   274,   921,18150204,    2,    0
   274,   921,18150205,    2,    0
   274,   921,18150206,    7,    0
   274,   921,18150207,   13,    0
   274,   921,18150208,  -10,    0
   274,   921,18150209,   19,    0
   274,   921,18150210,  -10,    0
   274,   921,18150211,    2,    0
   274,   921,18150212,   19,    0
   274,   921,18150213,    2,    0
   274,   921,18150214,  -15,    0
   274,   921,18150215,    7,    0
   274,   921,18150216,   47,    0
   274,   921,18150217,    2,    0
   274,   921,18150218,    2,    0
   274,   921,18150219,  -10,    0
   274,   921,18150220,   19,    0
   274,   921,18150221,   13,    0
   274,   921,18150222,   41,    0
   274,   921,18150223,   25,    0
   274,   921,18150224,   25,    0
   274,   921,18150225,   41,    0
   274,   921,18150226,   31,    0
   274,   921,18150227,  -38,    0
   274,   921,18150228,  -38,    0
   274,   921,18150301,  -50,    0
   274,   921,18150302,   13,    0
   274,   921,18150303,  -21,    0
   274,   921,18150304,   -4,    0
   274,   921,18150305,   19,    0
   274,   921,18150306,   19,    0
   274,   921,18150307,    7,    0
   274,   921,18150308,   53,    1
   274,   921,18150309,  -32,    0
   274,   921,18150310,  -27,    0
   274,   921,18150311,  -56,    0
   274,   921,18150312,  -44,    0
   274,   921,18150313,   -4,    0
   274,   921,18150314,   -4,    0
   274,   921,18150315,  -38,    0
   274,   921,18150316,   53,    0
   274,   921,18150317,   25,    0
   274,   921,18150318,   13,    0
   274,   921,18150319,   37,    0
   274,   921,18150320,   41,    0
   274,   921,18150321,   19,    0
   274,   921,18150322,   37,    0
   274,   921,18150323,   37,    0
   274,   921,18150324,   13,    0
   274,   921,18150325,   25,    0
   274,   921,18150326,  -21,    0
   274,   921,18150327,   37,    0
   274,   921,18150328,   53,    0
   274,   921,18150329,   37,    0
   274,   921,18150330,   47,    0
   274,   921,18150331,   37,    0
   274,   921,18150401,   76,    0
   274,   921,18150402,   65,    0
   274,   921,18150403,   41,    0
   274,   921,18150404,   13,    0
   274,   921,18150405,   13,    0
   274,   921,18150406,   25,    0
   274,   921,18150407,   47,    0
   274,   921,18150408,   47,    0
   274,   921,18150409,   37,    0
   274,   921,18150410,   50,    0
   274,   921,18150411,   89,    0
   274,   921,18150412,   97,    0
   274,   921,18150413,   89,    1
   274,   921,18150414,   19,    0
   274,   921,18150415,    3,    0
   274,   921,18150416,  -31,    0
   274,   921,18150417,   53,    0
   274,   921,18150418,  -17,    0
   274,   921,18150419,   -6,    0
   274,   921,18150420,   50,    0
   274,   921,18150421,   36,    0
   274,   921,18150422,   31,    0
   274,   921,18150423,   33,    0
   274,   921,18150424,   19,    0
   274,   921,18150425,   22,    0
   274,   921,18150426,   39,    0
   274,   921,18150427,    3,    0
   274,   921,18150428,   44,    0
   274,   921,18150429,   58,    0
   274,   921,18150430,   14,    0
   274,   921,18150501,   67,    0
   274,   921,18150502,   83,    0
   274,   921,18150503,   83,    0
   274,   921,18150504,   75,    0
   274,   921,18150505,   78,    0
   274,   921,18150506,  100,    0
   274,   921,18150507,  100,    0
   274,   921,18150508,  108,    0
   274,   921,18150509,   94,    0
   274,   921,18150510,  103,    0
   274,   921,18150511,  106,    0
   274,   921,18150512,  100,    0
   274,   921,18150513,   83,    0
   274,   921,18150514,   78,    0
   274,   921,18150515,   83,    0
   274,   921,18150516,   61,    0
   274,   921,18150517,   56,    0
   274,   921,18150518,  114,    0
   274,   921,18150519,  108,    0
   274,   921,18150520,   86,    0
   274,   921,18150521,   78,    0
   274,   921,18150522,   67,    0
   274,   921,18150523,   67,    0
   274,   921,18150524,   56,    0
   274,   921,18150525,  100,    0
   274,   921,18150526,  100,    0
   274,   921,18150527,  111,    0
   274,   921,18150528,  100,    0
   274,   921,18150529,  122,    0
   274,   921,18150530,   83,    0
   274,   921,18150531,   61,    0
   274,   921,18150601,  100,    0
   274,   921,18150602,   39,    0
   274,   921,18150603,  117,    0
   274,   921,18150604,  131,    0
   274,   921,18150605,  122,    0
   274,   921,18150606,   78,    0
   274,   921,18150607,   72,    0
   274,   921,18150608,   50,    0
   274,   921,18150609,   89,    0
   274,   921,18150610,   72,    0
   274,   921,18150611,   86,    0
   274,   921,18150612,   72,    0
   274,   921,18150613,   78,    0
